"cachekey","cachevalue","cachereference","createddatetime","updateddatetime","createdby","updatedby","cacheid"
"accountid","AccountId","ColumnName","1592858665796",,"ReportApp",,"d4844c0a-d253-429e-8475-c5325944ec78"
"envelopeid","EnvelopeId","ColumnName","1592858665812",,"ReportApp",,"8cc2b555-b9b3-4095-ad23-e81b53a0180e"
"sendername","Sender Name","ColumnName","1592858665813",,"ReportApp",,"68b1889a-3664-427b-92fe-cd2b6d6abe95"
"senderemail","Sender Email","ColumnName","1592858665814",,"ReportApp",,"bada9e8a-6711-4aa4-8f42-7a722bdfbc6b"
"sentdate","Sent Date","ColumnName","1592858665815",,"ReportApp",,"3a364ac1-37b7-4d67-9b01-1a5c6d68584c"
"recipientcount","Recipient Count","ColumnName","1592858665816",,"ReportApp",,"6bd5163b-13b8-4114-b510-c52f3697da98"
"documentcount","Documents Count","ColumnName","1592858665817",,"ReportApp",,"9b5f3c90-561b-447d-8a73-e20511484366"
"pagescount","Pages Count","ColumnName","1592858665818",,"ReportApp",,"3f3e43ba-68ae-41dc-bc80-85dbbad73ae3"
"status","Status","ColumnName","1592858665819",,"ReportApp",,"6bc53440-111f-46a2-89b6-12857090de75"
"completeddate","Completed Date","ColumnName","1592858665820",,"ReportApp",,"66e8244a-1e03-44e7-97f9-a7bc84e2d94a"
"billable","Billable","ColumnName","1592858665821",,"ReportApp",,"889d607d-ee64-4896-be84-b20dff260793"
"completionrate","Completion Rate","ColumnName","1592858665822",,"ReportApp",,"9b4afbe4-6cda-44ca-b437-756c368599f1"
"completionvelocity","Completion Velocity","ColumnName","1592858665823",,"ReportApp",,"1a9ff7ed-5c49-477e-9872-8dcf56de0b39"
"greenimpact","Green Impact","ColumnName","1592858665823",,"ReportApp",,"3193227b-3b0a-46e2-a9d6-fd8613d84c0a"
"employeeid","EmployeeId","ColumnName","1592858665827",,"ReportApp",,"e84f50eb-dc67-4c72-b3a1-d7d1a41a793d"
"naf","mIq44SJQyWv4L/rvA3ssBQ==","naf","1592858692476",,"ReportApp",,"f16091e1-5967-47ba-be15-9c25f764d2cf"
"dtrssotestdemo@teksentric.com","14512345","employeeid","1592955053909",,"ReportApp",,"0774b7f5-ed5b-48c7-bc82-1d1c63875333"
"dtrssotestdemouser22@teksentric.com","201322122","employeeid","1592955055080",,"ReportApp",,"1b7ef96b-d0e8-4094-9517-484b90788827"
"dtrssotestdemouser21@teksentric.com","207658321","employeeid","1592955055819",,"ReportApp",,"ba713932-085d-4539-90cf-50c63aaef49b"
"ecf","EnvelopeCustomField","ColumnName","1592858665824",,"ReportApp",,"715439c3-68af-4b33-b91d-214e383fd4d1"
